Brix,Violet,Blue,Green,Yellow,Orange,Red
7.2,40,39,48,66,33,43
7.1,39,40,47,68,29,38
7.1,38,40,47,68,29,37
7.1,39,40,47,68,29,36
7.3,31,34,43,58,28,35
7.3,32,35,42,59,27,36
7.3,31,35,42,59,27,35
6.8,46,42,49,69,33,53
6.5,46,42,49,69,33,52
6.7,46,42,49,69,33,50
7.6,38,36,37,57,25,40
7.4,37,36,37,57,25,39
7.4,37,36,36,57,24,38
6.6,43,40,46,68,30,45
6.5,43,40,46,68,30,45
6.5,43,40,46,68,30,44
6.7,31,28,41,52,25,29
6.8,31,28,41,52,25,29
6.9,31,28,41,52,25,28
6.9,32,27,42,47,29,28
7.3,31,27,41,46,29,27
7.9,32,27,42,47,29,27
7.1,38,35,44,63,30,39
7.1,40,36,45,65,31,40
7.1,37,34,47,65,33,37
7,32,33,35,57,22,36
7,32,33,34,56,22,36
7.6,33,34,36,58,24,36
7.9,24,29,41,54,26,28
7.9,24,29,41,54,26,28
7.8,24,29,41,54,26,27
7.6,23,29,37,51,24,27
7.6,23,29,37,52,25,27
7.6,23,29,37,52,25,26
7.1,39,31,39,55,26,37
7.1,39,31,39,55,26,37
7.1,39,31,39,55,26,36
7,36,30,36,50,22,33
7,35,30,36,50,23,32
7,35,32,37,50,23,32
8.4,23,27,30,43,19,24
8.6,23,27,31,44,20,24
8.4,23,26,31,43,21,24
8.4,35,35,47,63,26,30
8.3,35,35,48,63,26,30
8.5,35,35,48,63,26,30
8.9,32,30,48,59,32,34
9,32,30,48,59,32,33
9.8,32,30,48,58,32,32
8.3,39,45,48,66,30,47
8.1,39,40,48,66,30,45
8.4,40,41,48,66,30,45
9,39,40,45,63,28,40
9.3,39,40,45,63,28,39
9,36,36,48,63,31,36
6.8,35,37,48,67,33,34
6.8,35,37,48,67,33,34
6.9,35,36,48,66,33,33
5.8,32,29,40,54,25,28
5.9,32,29,41,53,25,28
5.8,32,31,40,53,25,27
6.8,40,37,46,63,30,39
6.7,40,37,46,63,30,38
6.5,40,37,46,63,30,38
9.8,31,29,42,56,27,28
9.8,31,29,42,56,26,28
9.9,31,29,42,57,26,28
8.4,34,30,42,55,26,32
8.5,35,30,42,55,26,31
8.6,34,31,41,56,26,30
8.3,35,28,41,54,25,28
8.5,34,27,40,53,24,27
8.7,32,26,37,50,23,26
8.5,45,27,31,45,21,36
8.8,43,26,31,44,20,34
8.7,41,25,31,44,20,32
